10.0006,3.0573,0.3057,30.5751,2000.9438,6.5797,   0:12: 1,
10.0005,3.0505,0.3050,30.5062,2029.1013,6.6657,   0:12:11,
10.0004,3.0436,0.3044,30.4377,2057.2585,6.7515,   0:12:21,
10.0006,3.0368,0.3037,30.3695,2085.4700,6.8373,   0:12:31,
10.0004,3.0300,0.3030,30.3011,2113.6714,6.9228,   0:12:41,
10.0006,3.0227,0.3022,30.2285,2141.8289,7.0080,   0:12:51,
10.0005,3.0154,0.3015,30.1552,2170.0857,7.0933,   0:13: 1,
10.0003,3.0083,0.3008,30.0836,2198.2415,7.1781,   0:13:12,
10.0006,3.0011,0.3001,30.0131,2226.3862,7.2627,   0:13:22,
10.0007,2.9942,0.2994,29.9443,2254.6531,7.3474,   0:13:32,
10.0007,2.9872,0.2987,29.8744,2282.7979,7.4316,   0:13:42,
10.0005,2.9804,0.2980,29.8055,2311.0098,7.5158,   0:13:52,
10.0005,2.9736,0.2973,29.7378,2339.2212,7.5998,   0:14: 2,
10.0005,2.9667,0.2967,29.6683,2367.4214,7.6835,   0:14:12,
10.0006,2.9599,0.2960,29.6006,2395.5771,7.7670,   0:14:23,
10.0005,2.9532,0.2953,29.5338,2423.7334,7.8502,   0:14:33,
10.0006,2.9466,0.2946,29.4677,2451.9448,7.9334,   0:14:43,
10.0006,2.9401,0.2940,29.4026,2480.1462,8.0165,   0:14:53,
10.0004,2.9337,0.2934,29.3386,2508.3020,8.0991,   0:15: 3,
10.0006,2.9274,0.2927,29.2762,2536.4473,8.1816,   0:15:13,
10.0008,2.9210,0.2921,29.2124,2564.6040,8.2640,   0:15:23,
10.0006,2.9147,0.2915,29.1494,2592.7598,8.3461,   0:15:34,
10.0005,2.9084,0.2908,29.0860,2620.9165,8.4281,   0:15:44,
10.0009,2.9020,0.2902,29.0225,2649.1177,8.5100,   0:15:54,
10.0007,2.8956,0.2895,28.9581,2677.2742,8.5917,   0:16: 4,
10.0006,2.8891,0.2889,28.8929,2705.4304,8.6731,   0:16:14,
10.0006,2.8828,0.2883,28.8296,2733.5879,8.7544,   0:16:24,
10.0006,2.8762,0.2876,28.7641,2761.7898,8.8356,   0:16:34,
10.0005,2.8696,0.2869,28.6977,2789.9463,8.9165,   0:16:45,
10.0005,2.8627,0.2863,28.6285,2818.2583,8.9976,   0:16:55,
10.0008,2.8558,0.2856,28.5605,2846.4700,9.0783,   0:17: 5,
10.0008,2.8487,0.2848,28.4892,2874.6260,9.1586,   0:17:15,
10.0005,2.8414,0.2841,28.4158,2902.7817,9.2387,   0:17:25,
10.0006,2.8339,0.2834,28.3411,2930.9265,9.3186,   0:17:35,
10.0008,2.8263,0.2826,28.2653,2959.0835,9.3982,   0:17:45,
10.0007,2.8183,0.2818,28.1846,2987.3518,9.4780,   0:17:56,
10.0006,2.8101,0.2810,28.1025,3015.5532,9.5574,   0:18: 6,
10.0011,2.8013,0.2801,28.0162,3043.7100,9.6364,   0:18:16,
10.0005,2.7921,0.2792,27.9223,3071.8660,9.7151,   0:18:26,
10.0007,2.7822,0.2782,27.8238,3100.0776,9.7938,   0:18:36,
10.0006,2.7716,0.2771,27.7178,3128.2781,9.8721,   0:18:46,
10.0006,2.7604,0.2760,27.6063,3156.4900,9.9501,   0:18:57,
10.0008,2.7484,0.2748,27.4866,3184.6914,10.0278,   0:19: 7,
10.0005,2.7360,0.2736,27.3612,3213.0029,10.1054,   0:19:17,
10.0007,2.7229,0.2723,27.2310,3241.1594,10.1823,   0:19:27,
10.0007,2.7094,0.2709,27.0955,3269.3716,10.2589,   0:19:37,
