11/08/2021/18/07/19,4,4,15.13,3.4701,3.4737,3.4711,3.4705,0,22.4,22.4,22.4,22.7,18.92,0.0,13.89
11/08/2021/18/07/29,4,4,15.17,3.4701,3.4738,3.4712,3.4707,0,22.1,23,22.4,23,18.9,0.0,13.89
11/08/2021/18/07/39,4,4,15.07,3.4701,3.474,3.4714,3.4707,0,22.7,23,22.4,23,18.94,0.0,13.89
11/08/2021/18/07/49,4,4,15.04,3.4701,3.4741,3.4715,3.4709,0,22.1,22.7,22.7,22.4,18.95,0.0,13.89
11/08/2021/18/07/59,4,4,15.08,3.4702,3.4742,3.4717,3.471,0,22.1,22.4,22.4,23,18.94,0.0,13.89
11/08/2021/18/08/09,4,4,15.1,3.4704,3.4742,3.4718,3.4711,0,22.4,22.7,22.1,22.4,18.95,0.0,13.89
11/08/2021/18/08/19,4,4,15.09,3.4705,3.4743,3.4718,3.4711,0,22.7,23,22.4,23,18.96,0.0,13.89
11/08/2021/18/08/29,4,4,15.04,3.4707,3.4743,3.4719,3.4713,0,22.4,22.7,22.4,22.4,18.99,0.0,13.89
11/08/2021/18/08/39,4,4,15.03,3.4708,3.4744,3.472,3.4713,0,22.4,23,22.4,23,19,0.0,13.89
11/08/2021/18/08/49,4,4,15.11,3.4709,3.4745,3.4721,3.4715,0,22.7,22.7,22.1,22.4,18.97,0.0,13.89
11/08/2021/18/08/59,4,4,15.14,3.471,3.4746,3.4723,3.4717,0,22.7,22.7,22.1,23,18.97,0.0,13.89
11/08/2021/18/09/09,4,4,15.08,3.4712,3.4746,3.4725,3.4718,0,22.1,22.7,22.7,23,19,0.0,13.89
11/08/2021/18/09/19,4,4,15.06,3.4712,3.4746,3.4727,3.4719,0,22.4,22.7,22.1,23,19.01,0.0,13.89
11/08/2021/18/09/29,4,4,15.09,3.4713,3.4746,3.4729,3.4721,0,22.1,22.4,22.1,22.7,19,0.0,13.89
11/08/2021/18/09/39,4,4,15.1,3.4714,3.4747,3.473,3.4722,0,22.1,22.4,22.1,22.7,19.01,0.0,13.89
11/08/2021/18/09/49,4,4,15.16,3.4715,3.4749,3.4731,3.4724,0,22.7,22.7,22.7,22.7,18.99,0.0,13.89
11/08/2021/18/09/59,4,4,15.07,3.4717,3.4751,3.4732,3.4725,0,22.1,22.4,22.1,22.4,19.04,0.0,13.89
11/08/2021/18/10/09,4,4,15.05,3.4718,3.4752,3.4733,3.4726,0,22.7,22.4,22.1,23,19.05,0.0,13.89
11/08/2021/18/10/19,4,4,15.08,3.4719,3.4753,3.4734,3.4727,0,22.4,22.7,22.4,22.7,19.05,0.0,13.89
11/08/2021/18/10/29,4,4,15.12,3.4719,3.4753,3.4734,3.4728,0,22.4,22.7,22.4,22.4,19.03,0.0,13.89
11/08/2021/18/10/39,4,4,15.08,3.4719,3.4755,3.4735,3.4729,0,22.7,22.4,22.4,23,19.05,0.0,13.89
