09/08/2021/22/42/33,4,4,-9.86,3.4422,3.442,3.4412,3.442,0,26.7,26.4,26.4,26.4,28.58,0.0,13.77
09/08/2021/22/42/43,4,4,-9.86,3.442,3.4419,3.4411,3.442,0,26.4,27,26.4,26.7,28.57,0.0,13.77
09/08/2021/22/42/53,4,4,-9.83,3.4419,3.4419,3.4409,3.442,0,26.7,26.7,27,26.7,28.54,0.0,13.77
09/08/2021/22/43/03,4,4,-9.92,3.4417,3.4419,3.4409,3.4419,0,26.4,26.4,26.4,26.1,28.57,0.0,13.77
09/08/2021/22/43/13,4,4,-9.8,3.4416,3.4418,3.4409,3.4418,0,26.1,26.7,27,26.7,28.5,0.0,13.77
09/08/2021/22/43/23,4,4,-9.81,3.4415,3.4416,3.4408,3.4417,0,26.1,26.7,27,26.7,28.5,0.0,13.77
09/08/2021/22/43/33,4,4,-9.84,3.4414,3.4416,3.4407,3.4416,0,26.1,26.7,26.4,26.7,28.51,0.0,13.77
09/08/2021/22/43/43,4,4,-9.81,3.4414,3.4415,3.4406,3.4415,0,26.1,26.7,26.7,26.1,28.49,0.0,13.77
09/08/2021/22/43/53,4,4,-9.83,3.4414,3.4415,3.4405,3.4414,0,26.1,27,27,26.4,28.5,0.0,13.76
09/08/2021/22/44/03,4,4,-9.79,3.4414,3.4414,3.4404,3.4413,0,26.4,26.4,26.7,26.7,28.48,0.0,13.76
09/08/2021/22/44/13,4,4,-9.9,3.4413,3.4414,3.4402,3.4413,0,26.1,27,26.7,26.7,28.53,0.0,13.76
09/08/2021/22/44/23,4,4,-9.85,3.4411,3.4413,3.44,3.4412,0,26.1,26.4,26.4,26.4,28.49,0.0,13.76
09/08/2021/22/44/33,4,4,-9.94,3.4409,3.4411,3.4398,3.4411,0,26.1,27,26.7,26.7,28.52,0.0,13.76
09/08/2021/22/44/43,4,4,-9.84,3.4408,3.441,3.4397,3.4411,0,26.7,26.7,26.4,26.7,28.46,0.0,13.76
09/08/2021/22/44/53,4,4,-9.83,3.4407,3.4408,3.4395,3.441,0,26.7,26.4,27,26.1,28.45,0.0,13.76
09/08/2021/22/45/03,4,4,-9.8,3.4406,3.4407,3.4394,3.4409,0,26.1,26.7,26.4,26.7,28.42,0.0,13.76
09/08/2021/22/45/13,4,4,-9.83,3.4404,3.4407,3.4392,3.4409,0,26.4,27,27,26.4,28.42,0.0,13.76
